Provinsi,Kab/Kota,Prevalensi Balita Stunting (%),Kategori Prevalensi Stunting Berdasarkan WHO,Jumlah Penduduk (jiwa),Tingkat Kemiskinan (%),Proporsi Keluarga yang Memiliki Akses Terhadap Fasilitas Sanitasi yang Layak (%),Persentase Sarana Air Minum Memenuhi Syarat (%),Proporsi Desa/Kelurahan Stop BAB Sembarangan (%),Jumlah Rumah Sakit,Jumlah Puskesmas,Jumlah Posyandu,Jumlah Dokter,Jumlah Bidan,Jumlah Perawat
ACEH,Kabupaten Aceh Barat,27.4,Medium,215294,18.8,83,92.6,34.3,4,13,166,162,574,526
ACEH,Kabupaten Aceh Barat Daya,33.2,High,155966,16.3,62.3,76.3,3.2,1,13,103,113,417,380
ACEH,Kabupaten Aceh Besar,32.4,High,436212,14.1,86.4,89.6,11,2,28,561,214,799,374
ACEH,Kabupaten Aceh Jaya,33.7,High,97338,13.2,94.8,39.9,29.1,1,12,165,99,370,313
ACEH,Kabupaten Aceh Selatan,27.3,Medium,248511,13.2,64.7,75,5.4,1,24,0,175,552,782
ACEH,Kabupaten Aceh Singkil,29.6,Medium,127289,20.4,83.5,63.6,14.4,1,12,53,103,334,424
ACEH,Kabupaten Aceh Tamiang,30.8,High,304273,13.3,96.8,98.9,26.9,2,15,40,149,699,685
ACEH,Kabupaten Aceh Tengah,34.3,High,218036,15.3,83.6,57,15.2,2,17,79,158,868,683
ACEH,Kabupaten Aceh Tenggara,34.1,High,222284,13.4,60.5,43.9,11.7,3,19,194,116,722,519
ACEH,Kabupaten Aceh Timur,38.2,High,448347,14.5,82.9,53.8,40.2,3,27,44,216,1625,1047
ACEH,Kabupaten Aceh Utara,38.8,High,636641,17.4,81.5,18.5,5.2,2,32,969,238,2319,1568
ACEH,Kabupaten Bener Meriah,40,Very High,152369,19.2,95.5,39.7,28.9,2,13,101,116,855,510
ACEH,Kabupaten Bireuen,24.3,Medium,483716,13.3,86.6,62.5,17.7,6,20,166,311,1869,1304
ACEH,Kabupaten Gayo Lues,42.9,Very High,96126,19.6,52.2,75,2.8,1,12,0,64,223,233
ACEH,Kabupaten Nagan Raya,32.5,High,171047,18.2,86.1,38,10.3,1,14,26,109,652,435
ACEH,Kabupaten Pidie,39.3,High,458330,19.6,69,2.2,9,5,26,413,273,2048,1762
ACEH,Kabupaten Pidie Jaya,29,Medium,165397,19.6,85.4,59.3,30.2,1,12,8,115,795,635
ACEH,Kabupaten Simeulue,25.9,Medium,97524,19,67.6,82.7,24.6,1,14,48,47,409,441
ACEH,Kota Banda Aceh,23.4,Medium,280231,7.6,100,96.9,100,13,11,63,1074,539,2140
ACEH,Kota Langsa,25.5,Medium,183386,11,93,88.4,3.7,4,5,93,134,322,614
ACEH,Kota Lhokseumawe,27.4,Medium,213107,11.2,89.1,0,17.6,10,7,91,232,758,955
ACEH,Kota Sabang,23.8,Medium,35076,15.3,98.9,100,72.2,2,6,14,68,67,206
ACEH,Kota Subulussalam,41.8,Very High,83273,17.7,64.3,19.2,0,1,8,47,64,313,268
SUMUT,Kabupaten Asahan,18.9,Low,777626,9.4,93.7,0,4.4,11,29,154,261,1004,648
SUMUT,Kabupaten Batu Bara,30.9,High,413171,12.4,87.9,69.2,29.8,3,15,129,97,468,296
SUMUT,Kabupaten Dairi,34.2,High,311665,8.3,93.1,87,30.2,1,18,388,83,428,318
SUMUT,Kabupaten Deli Serdang,12.5,Low,1941374,4,82.8,69.7,48.2,22,34,1471,905,1735,1782
SUMUT,Kabupaten Humbang Hasundutan,26.7,Medium,199719,9.7,93.8,76.1,27.3,1,12,31,67,319,263
SUMUT,Kabupaten Karo,25.3,Medium,409077,8.8,95.1,100,42.8,5,19,139,192,628,452
SUMUT,Kabupaten Labuhan Batu,27,Medium,499982,8.7,92.6,70.7,36.7,7,15,484,226,932,713
SUMUT,Kabupaten Labuhanbatu Selatan,27,Medium,316798,8.5,88,0,20.6,3,17,157,110,616,336
SUMUT,Kabupaten Labuhanbatu Utara,30.9,High,385869,10,87.3,100,25.6,5,18,180,177,874,680
SUMUT,Kabupaten Langkat,31.5,High,1034519,10.1,78.8,68.4,42.6,7,32,908,335,1204,932
SUMUT,Kabupaten Mandailing Natal,47.7,Very High,478062,9.5,68.8,54.8,3.4,3,26,88,165,1218,603
SUMUT,Kabupaten Nias,32.1,High,147794,16.8,31.9,71.4,25.3,1,12,98,104,419,444
SUMUT,Kabupaten Nias Barat,27.9,Medium,90585,26.4,86.9,100,1.9,1,13,0,24,297,270
SUMUT,Kabupaten Nias Selatan,36.7,High,366163,16.9,0,0,1.3,2,36,20,53,1009,990
SUMUT,Kabupaten Nias Utara,34.4,High,148790,25.7,29.9,71.4,12.4,1,11,132,35,379,301
SUMUT,Kabupaten Padang Lawas,42,Very High,263719,8.7,66.9,0,26.6,2,16,113,84,721,236
SUMUT,Kabupaten Padang Lawas Utara,33.1,High,263551,9.9,77.7,82.4,37.4,1,17,106,102,874,261
SUMUT,Kabupaten Pakpak Bharat,40.8,Very High,53315,9.4,70,0,86.5,1,8,91,48,137,187
SUMUT,Kabupaten Samosir,28.4,Medium,137696,12.7,92.1,50.9,28.4,1,12,198,67,289,165
SUMUT,Kabupaten Serdang Bedagai,20,Medium,662076,8.3,90.9,71.8,16.5,6,20,148,268,623,269
SUMUT,Kabupaten Simalungun,28,Medium,1003727,8.8,79.8,90.4,4.6,7,46,716,279,1226,691
SUMUT,Kabupaten Tapanuli Selatan,30.8,High,303685,8.8,74.6,0,7.3,1,16,492,71,350,175
SUMUT,Kabupaten Tapanuli Tengah,25.3,Medium,369300,12.7,80.3,0,0.9,1,25,4,127,866,514
SUMUT,Kabupaten Tapanuli Utara,26.7,Medium,315222,9.7,76.9,0,1.6,2,21,28,126,919,486
SUMUT,Kabupaten Toba Samosir,24.8,Medium,208754,9,74.6,10.3,34.4,2,19,316,108,472,292
SUMUT,Kota Binjai,21.7,Medium,295361,5.8,99.6,43.2,0,11,8,199,481,444,796
SUMUT,Kota Gunung Sitoli,26.3,Medium,136707,16.5,42.8,50,1,1,8,66,66,389,199
SUMUT,Kota Medan,19.9,Low,2460858,8.3,66.6,100,0,75,41,1285,3115,1989,6646
SUMUT,Kota Padang Sidempuan,32.1,High,227674,7.5,78.2,100,2.5,4,10,144,142,572,369
SUMUT,Kota Pematang Siantar,15,Low,270768,8.5,71.2,100,26.4,8,19,245,322,395,1040
SUMUT,Kota Sibolga,25.8,Medium,89932,12.3,45.7,97.9,5.9,3,5,47,156,257,351
SUMUT,Kota Tanjung Balai,26.1,Medium,177640,13.4,86.4,0,3.2,2,8,43,89,267,341
SUMUT,Kota Tebing Tinggi,17.3,Low,174969,10.3,87,100,8.6,6,9,129,226,353,520
SUMBAR,Kabupaten Sijunjung,30.1,High,237313,6.8,100,80,100,3,13,318,81,240,227
SUMBAR,Kabupaten Lima Puluh Kota,28.2,Medium,388866,7.3,67.9,37.4,0.7,1,22,335,114,409,273
SUMBAR,Kabupaten Dharmasraya,19.5,Low,265841,6.7,95,48.4,51.9,14,14,210,122,535,422
SUMBAR,Kota Padang,18.9,Low,984490,4.94,100,91.1,100,26,23,642,1866,915,3342
SUMSEL,Kabupaten Banyuasin,22,Medium,843871,10.8,89.4,89,65.2,5,33,618,213,1081,679
SUMSEL,Kabupaten Empat Lawang,26,Medium,343839,13.4,71.7,59.7,8.3,2,10,114,53,413,264
SUMSEL,Kabupaten Lahat,22.4,Medium,434939,16.5,87.1,86.4,50.7,2,33,369,93,710,762
SUMSEL,Kabupaten Muara Enim,29.7,Medium,617846,12.3,85.9,93.8,52,6,22,276,223,1071,945
SUMSEL,Kabupaten Musi Banyuasin,23,Medium,627070,15.8,90.6,77.7,78.6,3,29,455,227,973,938
SUMSEL,Kabupaten Musi Rawas,28.3,Medium,398732,13.9,98.3,100,81.4,2,19,268,118,660,675
SUMSEL,Kabupaten Musi Rawas Utara,28.3,Medium,190420,20.1,78.6,65,5.6,1,8,124,54,447,352
SUMSEL,Kabupaten Ogan Ilir,29.2,Medium,419401,13.8,79.6,88.5,22,3,25,296,103,838,593
SUMSEL,Kabupaten Ogan Komering Ilir,32.2,High,772742,14.7,77.8,100,26.6,3,32,767,90,1196,873
SUMSEL,Kabupaten Ogan Komering Ulu,31.1,High,371106,12.6,88.1,62.5,41.4,8,18,315,144,867,979
SUMSEL,Kabupaten Ogan Komering Ulu Selatan,24.8,Medium,416616,11.1,86.4,100,76.4,1,19,324,65,719,422
SUMSEL,Kabupaten Ogan Komering Ulu Timur,21.5,Medium,653062,10.6,91.5,91.9,59.9,3,22,632,200,1402,1061
SUMSEL,Kabupaten Penukal Abab Lematang Ilir (PALI),20.2,Medium,197290,12.9,100,100,73.2,1,8,109,46,425,318
SUMSEL,Kota Lubuk Linggau,22.8,Medium,236828,13.2,100,87.5,100,6,10,92,166,368,732
SUMSEL,Kota Pagar Alam,15.5,Low,145266,9.4,91,18.5,28.6,1,7,132,44,259,281
SUMSEL,Kota Palembang,16.1,Low,1686073,11.3,97.1,94.8,34.6,36,41,642,2189,1529,4744
SUMSEL,Kota Prabumulih,22,Medium,195748,12.2,100,86.4,100,4,9,103,167,684,793
BENGKULU,Kabupaten Kepahiang,22.9,Medium,1866,14.8,84.9,100,52.1,1,14,102,51,275,282
RIAU,Kabupaten Bengkalis,21.9,Medium,567745,6.6,97.1,97.9,52.9,6,18,173,368,296,278
RIAU,Kabupaten Indragiri Hilir,28.4,Medium,721862,6.2,73.6,75.7,60.2,4,28,266,184,741,506
RIAU,Kabupaten Indragiri Hulu,23.6,Medium,443650,6.2,93.6,53.8,33.5,4,20,76,169,567,309
RIAU,Kabupaten Kampar,25.7,Medium,882785,7.8,95.6,85.9,51.2,7,31,463,255,694,496
RIAU,Kabupaten Kepulauan Meranti,23.3,Medium,189093,25.6,95.8,67.2,42.6,1,10,218,100,212,143
RIAU,Kabupaten Kuantan Singingi,22.4,Medium,322462,9,92.3,59.7,35.8,2,25,258,133,458,242
RIAU,Kabupaten Pelalawan,21.2,Medium,517039,9.5,94.9,54.2,60.2,4,14,149,191,472,248
